description;web_url;s3_object_path;exists_in_s3;exists_metadata_json;file_extension
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=380;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/d8/a7/Anexo 1. CDA  Presentación y Estructura Acompañamiento.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=195;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/8c/aa/GuiaDeNavegacion_EC1.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/aprender-en-casa?page=13#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_aprender-en-casa.txt;True;True;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1ALF.3.1.22.txt;True;True;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1BR.5.2.20.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/d4/9b/03Cul_03Eje_19.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=181;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/97/53/MEN_PTA_C3_AN03_V01.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=191;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/48/cd/MEN_PTA_C8_AN03.txt;True;False;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1ALF.2.1.14.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=291;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a3/96/Guia_Mod6_L1R2.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=380;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/5f/4f/1PRESE~1.DOC.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=161;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/86/af/Estrategias para la construcción del Plan Anticorrupción y de atención al ciudadano.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/media/6/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_6_download.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=291;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/b4/30/Tema2_M6_L1_R2.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=266;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/ad/fc/Guion_de_video_--_Infografia1.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=378;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/65/98/._Atencion_educativa.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/emociones-conexion-vital/linea1_ruta1_mod3.html;s3://men-prod-clean-data/contenidos_formativos/EMOCIONES_CONEXION_VITAL/Secretar%C3%ADas%20de%20Educaci%C3%B3n/Conexi%C3%B3n%20Emociones/M%C3%B3dulo%203/audio/respiracion_POD.txt;False;False;txt
...;https://movil.colombiaaprende.edu.co/media/156/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_156_download.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=266;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/06/d7/CAT-M3-VID-INF-1-720p.txt;True;False;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1PV.1.3.1.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=225;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/5c/0d/pacto_memorias.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/media/57/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_57_download.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=135;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/5f/81/Anexo5.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=183;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/45/8f/MEN_PTA_C4_AN02.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=373;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/cf/84/03. Análisis de Reportes del SIUCE.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=349;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/56/aa/1. Protocolo CDA Integrada Ciclo III (2).pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=181;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/85/f9/MEN_PTA_C3_ANEXO4_CDA.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=195;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a5/ff/GestionReformasEducacionalesAmericaLatinaDeLos90.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/select/form/118#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_select_form_118.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=291;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/cf/f9/Transcripcion_Mod6_L1R2.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=357;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/5a/12/MT2.5 Ficha metacognicion pensamiento visble.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=187;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/e6/f9/MEN_PTA_C6_PROTOCOLO.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=382;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/6c/b2/Presentación y Estructura.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=201;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/4d/fb/OC2_VideoBienvenida.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=289;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/e1/79/Tema3_L2R1_Mod.3.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=187;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/70/83/MEN_PTA_C6_ANEXO2_ACOMPAÑAMIENTO.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a1/6a/M2S4_R1.txt;True;False;txt
...;https://movil.colombiaaprende.edu.co/media/125/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_125_download.txt;True;True;txt
